Day,Time,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Beta-carotene (µg),Folate (µg),Lutein+Zeaxanthin (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
1/1/2021,8:26 PM,Breakfast,"Oatmeal, Avena, Steel Cut Cooking",1.00 cup,202.14,0,0,184.69,0.25,0.08,0.6,0.6,0.05,0,0,17.07,96,0,0,0,0.22,1.07,42.07,0.26,2.27,78.35,1.94,218.67,193.11,15.41,217.07,1.99,36.11,5.39,30.89,0.53,30.72,3.48,0,1.06,1.23,0.59,0,0.05,1.17,0.24,0.15,0.27,0.52,0.34,0.11,0.36,7.01,0.2,0.1,0.21,0.37,Breakfast Cereals
1/1/2021,8:26 PM,Breakfast,"Strawberries, Fresh","0.80 cup, halves",38.91,0,0,110.59,0.03,0.03,0.47,0.15,0.06,0,8.51,29.18,31.62,14.59,71.5,0,0.34,2.68,19.46,0.06,0.5,15.81,0.47,29.18,186.05,0.49,1.22,0.17,9.34,2.43,0.05,5.95,6.91,0.36,0,0.05,0.19,0.02,0,0.08,0.11,0.01,0.01,0.02,0.04,0.03,0,0.02,0.81,0.02,0.01,0.03,0.02,Fruits and Fruit Juices
1/1/2021,8:26 PM,Breakfast,"Blueberries, Fresh","0.80 cup, whole pieces",67.49,0,0,99.7,0.04,0.05,0.49,0.15,0.06,0,37.89,7.1,94.72,63.94,11.48,0,0.69,22.85,7.1,0.07,0.33,7.1,0.4,14.21,91.17,0.12,1.18,0.19,17.16,2.84,0.04,11.79,14.31,0.39,0,0.06,0.17,0.03,0,0.07,0.1,0.01,0.01,0.03,0.05,0.02,0.01,0.03,0.88,0.02,0,0.01,0.04,Fruits and Fruit Juices
1/1/2021,8:26 PM,Breakfast,"Banana, Fresh","1.00 medium - 7"" to 7 7/8"" long",105.02,0,0,88.39,0.04,0.09,0.78,0.39,0.43,0,30.68,23.6,25.96,75.52,10.27,0,0.15,0.59,5.9,0.09,0.31,31.86,0.32,25.96,422.44,1.18,1.18,0.18,26.95,3.07,6.35,14.43,23.88,0.39,0,0.04,0.09,0.13,0,0.03,0.05,0.01,0.09,0.03,0.08,0.06,0.01,0.06,1.29,0.03,0.01,0.01,0.06,Fruits and Fruit Juices
1/1/2021,8:26 PM,Breakfast,"Milk, 2% Fat, Reduced Fat",0.75 oz,10.63,0,0,18.97,0.01,0.04,0.02,0.08,0.01,0.11,0.85,1.06,0,40.4,0.04,10.42,0.01,0.04,25.51,0,0,2.34,0,19.56,29.77,0.53,9.99,0.1,1.02,0,0,1.08,1.02,0.42,1.7,0.12,0.02,0.27,0.02,0,0.01,0,0.02,0.04,0.07,0.06,0.02,0.04,0.7,0.03,0.01,0.04,0.05,Dairy and Egg Products
1/1/2021,8:27 PM,Lunch,"Coffee, Prepared From Grounds",24.00 fl oz,7.1,0,284.17,706.08,0.1,0.54,1.36,1.8,0.01,0,0,14.21,0,0,0,0,0.07,0.71,14.21,0.01,0.07,21.31,0.16,21.31,348.1,0,14.21,0.14,3.34,3.34,0,0,0,0.14,0,0.11,0.01,0.01,0,0,0,0.01,0.01,0.01,0.04,0.01,0,0.02,0.85,0.01,0,0.01,0.02,Beverages
1/1/2021,8:27 PM,Lunch,"Vega One, All In One Shake, Chocolate",0.70 scoop,126,,,,0.56,0.63,9.52,3.57,0.7,1.05,,147,,280,28,196,7.14,41.3,126,,4.9,28,,154,329,,154,,10.5,2.8,,0.7,7.7,4.2,0,0.7,2.1,0.7,0,,,,,,,,,,14,,,,,Beverages
1/1/2021,8:27 PM,Lunch,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",1.60 cup,118.33,0,0,361.43,0.1,0.82,0.28,0.12,0.16,4.8,3.44,39.27,0,799.99,1.17,192.07,0.24,13.21,480,0.28,1.73,64,0.57,168.56,480,8.96,135.92,0.96,5.75,4.13,0,1.63,1.62,6.17,0,1.36,3.48,0.89,0,0.41,3.02,0.18,0.31,0.56,0.93,0.76,0.16,0.6,12.53,0.5,0.17,0.43,0.57,Beverages
1/1/2021,8:27 PM,Lunch,"Lettuce, Mixed Greens","1.50 cup, chopped",14.19,0,0,77.63,0.06,0.07,0.32,0.22,0.07,0,2787.86,88.95,3068.89,4647.15,8.35,0,0.49,159.54,39.27,0.05,0.95,21.12,0.3,25.74,239.94,0.38,24.26,0.31,2.66,1.63,0.02,0.76,1.02,0.19,0,0.01,0.09,0.03,0,0.06,0,0.01,0.02,0.06,0.08,0.07,0.02,0.05,1.25,0.05,0.01,0.03,0.06,Vegetables and Vegetable Products
1/1/2021,8:28 PM,Lunch,Guacamole,3.00 tbsp,41.42,0,0,36.1,0.03,0.04,0.5,0.32,0.09,0,84.85,22.05,100.18,160.96,13.55,0,0.48,5.9,6.95,0.05,0.23,9.2,0.07,17.94,155.1,0.15,179.88,0.19,3.49,1.73,0.06,0.81,1.76,3.18,0,2,0.39,0.44,0,0.02,0.35,0.01,0.01,0.02,0.04,0.04,0.01,0.03,0.69,0.02,0.01,0.01,0.03,Vegetables and Vegetable Products
